Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Bukayo Saka,Arsenal,eng ENG,FW,21,42.7,19840,1788,5145,836,941,88.8,386,82,12,148,219,43.4,Matches
Kai Havertz,Arsenal,de GER,"MF,FW",24,42.4,12101,1200,2788,665,769,86.5,244,34,2,120,18,55.6,Matches
David Raya,Arsenal,es ESP,GK,27,41.3,25246,1366,18420,304,308,98.7,489,0,0,2,554,42.2,Matches
Gabriel Martinelli,Arsenal,br BRA,FW,22,29.2,12780,1098,2369,508,585,86.8,266,39,8,75,101,54.5,Matches
Leandro Trossard,Arsenal,be BEL,FW,28,25.2,9645,833,2456,330,383,86.2,223,37,7,94,82,54.9,Matches
Oleksandr Zinchenko,Arsenal,ua UKR,DF,26,23.1,27061,1825,7946,765,827,92.5,696,53,4,258,160,71.9,Matches
Gabriel Jesus,Arsenal,br BRA,FW,26,21.2,6704,643,1252,321,379,84.7,147,21,1,53,18,61.1,Matches
Jorginho,Arsenal,it ITA,MF,31,18.7,16053,1127,4788,527,563,93.6,390,31,1,130,85,76.5,Matches
Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,18.5,11969,942,3563,419,469,89.3,301,12,4,100,74,51.4,Matches
Jakub Kiwior,Arsenal,pl POL,DF,23,17.7,11113,826,4033,353,395,89.4,288,9,4,78,71,54.9,Matches
Eddie Nketiah,Arsenal,eng ENG,FW,24,15.6,2720,257,285,119,141,84.4,68,6,0,21,4,75.0,Matches
Aaron Ramsdale,Arsenal,eng ENG,GK,25,11.0,3974,226,2843,51,51,100.0,77,0,0,2,95,36.8,Matches
Thomas Partey,Arsenal,gh GHA,MF,30,9.8,9318,646,2659,303,327,92.7,226,15,2,73,55,69.1,Matches
Reiss Nelson,Arsenal,eng ENG,FW,23,7.2,2969,235,615,134,137,97.8,55,12,3,15,20,65.0,Matches
Emile Smith Rowe,Arsenal,eng ENG,MF,23,5.4,2910,252,591,148,165,89.7,64,13,0,28,5,40.0,Matches
Fabio Vieira,Arsenal,pt POR,FW,23,5.3,2728,203,541,84,94,89.4,65,9,1,20,25,52.0,Matches
Jurriën Timber,Arsenal,nl NED,DF,22,1.6,982,74,221,35,36,97.2,30,0,0,8,2,50.0,Matches
Cédric Soares,Arsenal,pt POR,DF,31,1.4,1342,105,323,51,56,91.1,28,1,1,4,12,50.0,Matches
Mohamed Elneny,Arsenal,eg EGY,MF,31,1.1,968,65,212,28,31,90.3,32,0,0,1,0,,Matches
Charles Sagoe Jr,Arsenal,eng ENG,FW,19,0.7,,,,,,,,,,,,,Matches
Kieran Tierney,Arsenal,sct SCO,"DF,MF",26,0.2,,,,,,,,,,,,,Matches
Ethan Nwaneri,Arsenal,eng ENG,MF,16,0.2,209,18,56,10,13,76.9,5,2,0,2,0,,Matches
Kylian Mbappé,Paris S-G,fr FRA,FW,24,43.0,17027,1360,3683,655,747,87.7,342,73,4,182,97,78.4,Matches
Gianluigi Donnarumma,Paris S-G,it ITA,GK,24,41.1,21630,1127,11933,252,254,99.2,559,0,0,1,301,58.5,Matches
Vitinha,Paris S-G,pt POR,MF,23,39.5,39279,2585,9516,1119,1201,93.2,927,50,3,265,254,81.1,Matches
Warren Zaïre-Emery,Paris S-G,fr FRA,MF,17,36.9,26662,1941,5518,937,1008,93.0,683,27,2,157,78,88.5,Matches
Achraf Hakimi,Paris S-G,ma MAR,DF,24,36.4,37799,2953,12288,1414,1548,91.3,906,66,18,302,198,60.1,Matches
Lucas Hernández,Paris S-G,fr FRA,DF,27,33.6,39088,2542,12260,979,1043,93.9,1095,10,2,195,242,65.7,Matches
Marquinhos,Paris S-G,br BRA,DF,29,31.9,46444,2614,13745,755,790,95.6,1420,9,1,172,304,72.0,Matches
Ousmane Dembélé,Paris S-G,fr FRA,"FW,MF",26,31.6,19980,1630,5591,584,709,82.4,480,81,11,194,179,52.5,Matches
Manuel Ugarte Ribeiro,Paris S-G,uy URU,MF,22,27.2,26699,1584,4926,530,585,90.6,763,6,0,101,151,82.1,Matches
Danilo Pereira,Paris S-G,pt POR,DF,31,27.2,42694,2358,14204,675,706,95.6,1348,5,0,154,224,78.6,Matches
Milan Škriniar,Paris S-G,sk SVK,DF,28,25.0,41955,2319,12747,676,718,94.2,1322,1,0,90,208,85.6,Matches
Fabián Ruiz Peña,Paris S-G,es ESP,MF,27,24.8,19406,1296,4440,529,576,91.8,514,26,5,126,104,76.0,Matches
Bradley Barcola,Paris S-G,fr FRA,"FW,DF",20,23.2,8267,749,2115,369,443,83.3,189,27,3,78,30,36.7,Matches
Lee Kang-in,Paris S-G,kr KOR,"MF,FW",22,23.1,16216,1283,4135,581,633,91.8,375,38,8,148,142,48.6,Matches
Randal Kolo Muani,Paris S-G,fr FRA,"FW,MF",24,21.7,4756,473,1319,204,263,77.6,101,19,3,57,22,59.1,Matches
Gonçalo Ramos,Paris S-G,pt POR,FW,22,20.9,4510,464,799,233,285,81.8,86,11,0,38,14,71.4,Matches
Lucas Beraldo,Paris S-G,br BRA,DF,19,20.4,21142,1312,7098,401,461,87.0,662,2,0,54,104,77.9,Matches
Marco Asensio,Paris S-G,es ESP,"FW,MF",27,16.4,8890,715,2287,331,364,90.9,203,23,5,80,75,42.7,Matches
Carlos Soler,Paris S-G,es ESP,"MF,FW",26,14.2,10826,784,2925,324,358,90.5,265,17,2,74,72,69.4,Matches
Nordi Mukiele,Paris S-G,fr FRA,DF,25,10.5,8471,618,2457,255,287,88.9,217,5,1,37,53,64.2,Matches
Nuno Mendes,Paris S-G,pt POR,DF,21,10.5,7938,561,2290,204,235,86.8,213,5,2,49,59,71.2,Matches
Keylor Navas,Paris S-G,cr CRC,GK,36,6.0,1934,98,1059,17,17,100.0,62,0,0,0,19,63.2,Matches
Arnau Tenas,Paris S-G,es ESP,GK,22,5.9,4055,211,2464,36,36,100.0,100,0,0,0,75,49.3,Matches
Yoram Zague,Paris S-G,fr FRA,DF,17,4.1,5124,334,997,141,147,95.9,141,1,0,13,26,65.4,Matches
Senny Mayulu,Paris S-G,fr FRA,MF,17,3.9,2073,175,370,82,96,85.4,51,7,3,11,6,83.3,Matches
Cher Ndour,Paris S-G,it ITA,MF,19,1.3,285,25,39,14,15,93.3,5,0,0,2,1,100.0,Matches
Ethan Mbappé,Paris S-G,fr FRA,MF,16,1.0,603,46,187,20,21,95.2,17,1,0,1,1,100.0,Matches
Hugo Ekitike,Paris S-G,fr FRA,FW,21,0.1,60,8,17,5,5,100.0,0,1,0,1,0,,Matches
Layvin Kurzawa,Paris S-G,fr FRA,DF,30,0.1,206,13,38,7,7,100.0,4,0,0,0,1,100.0,Matches
